Date,Site.Name,COUNTY,SITE_LONGITUDE,SITE_LATITUDE,Year,Month,PM2.5,Ozone
1-08-20,Linville Falls,Avery,-81.933072,35.972347,1,8,22,NA
1-08-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,1,8,37.5,NA
1-08-20,Millbrook School,Wake,-78.574167,35.856111,1,8,44.5,30
1-08-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,1,8,28.666666666666668,NA
1-08-20,West Johnston Co.,Johnston,-78.4622,35.59095,1,8,35,38
1-09-20,Bryson City,Swain,-83.442133,35.434767,1,9,45.5,NA
1-09-20,Castle Hayne,New Hanover,-77.838611,34.364167,1,9,15.5,NA
1-09-20,Clemmons Middle,Forsyth,-80.342,36.026,1,9,27.333333333333332,NA
1-09-20,Durham Armory,Durham,-78.904037,36.0329550008979,1,9,28.333333333333332,NA
1-09-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,1,9,NA,38
1-09-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,1,9,19,31
1-09-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,1,9,24.666666666666668,NA
1-09-20,Leggett,Edgecombe,-77.5843,35.988278,1,9,10.5,NA
1-09-20,Linville Falls,Avery,-81.933072,35.972347,1,9,5,NA
1-09-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,1,9,24,NA
1-09-20,Millbrook School,Wake,-78.574167,35.856111,1,9,23.5,32
1-09-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,1,9,18,NA
1-09-20,West Johnston Co.,Johnston,-78.4622,35.59095,1,9,27.5,35
1-10-20,Bryson City,Swain,-83.442133,35.434767,1,10,38,NA
1-10-20,Castle Hayne,New Hanover,-77.838611,34.364167,1,10,11.5,NA
1-10-20,Clemmons Middle,Forsyth,-80.342,36.026,1,10,33,NA
1-10-20,Durham Armory,Durham,-78.904037,36.0329550008979,1,10,34,NA
1-10-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,1,10,NA,45
1-10-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,1,10,24,28
1-10-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,1,10,28,NA
1-10-20,Leggett,Edgecombe,-77.5843,35.988278,1,10,21.5,NA
1-10-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,1,10,17.5,NA
1-10-20,Millbrook School,Wake,-78.574167,35.856111,1,10,27.666666666666668,30
1-10-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,1,10,26,NA
1-10-20,West Johnston Co.,Johnston,-78.4622,35.59095,1,10,26.5,27
1-11-20,,Hyde,-76.2071654064174,35.4510904272765,1,11,23,NA
1-11-20,Bryson City,Swain,-83.442133,35.434767,1,11,28,NA
1-11-20,Castle Hayne,New Hanover,-77.838611,34.364167,1,11,14,NA
1-11-20,Clemmons Middle,Forsyth,-80.342,36.026,1,11,47.5,NA
1-11-20,Durham Armory,Durham,-78.904037,36.0329550008979,1,11,44,NA
1-11-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,1,11,0,51
1-11-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,1,11,33,27.5
1-11-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,1,11,43.333333333333336,NA
1-11-20,Leggett,Edgecombe,-77.5843,35.988278,1,11,22.5,NA
1-11-20,Linville Falls,Avery,-81.933072,35.972347,1,11,3,NA
1-11-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,1,11,40,NA
1-11-20,Millbrook School,Wake,-78.574167,35.856111,1,11,31.25,27
1-11-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,1,11,24.666666666666668,NA
1-11-20,West Johnston Co.,Johnston,-78.4622,35.59095,1,11,38.5,29
1-12-20,Bryson City,Swain,-83.442133,35.434767,1,12,28.5,NA
1-12-20,Castle Hayne,New Hanover,-77.838611,34.364167,1,12,9,NA
1-12-20,Clemmons Middle,Forsyth,-80.342,36.026,1,12,40,NA
1-12-20,Durham Armory,Durham,-78.904037,36.0329550008979,1,12,31.333333333333332,NA
1-12-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,1,12,13,37
1-12-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,1,12,36.75,30
1-12-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,1,12,42,NA
1-12-20,Leggett,Edgecombe,-77.5843,35.988278,1,12,12.5,NA
1-12-20,Linville Falls,Avery,-81.933072,35.972347,1,12,26,NA
1-12-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,1,12,27.5,NA
1-12-20,Millbrook School,Wake,-78.574167,35.856111,1,12,33,32
1-12-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,1,12,18.333333333333332,NA
1-12-20,West Johnston Co.,Johnston,-78.4622,35.59095,1,12,24,30
2-01-20,,Hyde,-76.2071654064174,35.4510904272765,2,1,13,NA
2-01-20,Bryson City,Swain,-83.442133,35.434767,2,1,56,NA
2-01-20,Castle Hayne,New Hanover,-77.838611,34.364167,2,1,14,NA
2-01-20,Clemmons Middle,Forsyth,-80.342,36.026,2,1,55,NA
2-01-20,Durham Armory,Durham,-78.904037,36.0329550008979,2,1,41,34
2-01-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,2,1,12,44
2-01-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,2,1,38.5,36
2-01-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,2,1,42.5,NA
2-01-20,Leggett,Edgecombe,-77.5843,35.988278,2,1,24,38
2-01-20,Linville Falls,Avery,-81.933072,35.972347,2,1,24,NA
2-01-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,2,1,45,NA
2-01-20,Millbrook School,Wake,-78.574167,35.856111,2,1,38.25,37.5
2-01-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,2,1,24,NA
2-01-20,West Johnston Co.,Johnston,-78.4622,35.59095,2,1,38.5,40
2-02-20,,Hyde,-76.2071654064174,35.4510904272765,2,2,23,NA
2-02-20,Bryson City,Swain,-83.442133,35.434767,2,2,30,NA
2-02-20,Castle Hayne,New Hanover,-77.838611,34.364167,2,2,20,NA
2-02-20,Clemmons Middle,Forsyth,-80.342,36.026,2,2,38,NA
2-02-20,Durham Armory,Durham,-78.904037,36.0329550008979,2,2,42.666666666666664,26
2-02-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,2,2,9,47
2-02-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,2,2,44,38
2-02-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,2,2,41.333333333333336,NA
2-02-20,Leggett,Edgecombe,-77.5843,35.988278,2,2,26,30
2-02-20,Linville Falls,Avery,-81.933072,35.972347,2,2,14,NA
2-02-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,2,2,32.5,NA
2-02-20,Millbrook School,Wake,-78.574167,35.856111,2,2,52.25,31.5
2-02-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,2,2,40.5,NA
2-02-20,West Johnston Co.,Johnston,-78.4622,35.59095,2,2,35,34
2-03-20,Bryson City,Swain,-83.442133,35.434767,2,3,40,NA
2-03-20,Castle Hayne,New Hanover,-77.838611,34.364167,2,3,8,NA
2-03-20,Clemmons Middle,Forsyth,-80.342,36.026,2,3,57.5,NA
2-03-20,Durham Armory,Durham,-78.904037,36.0329550008979,2,3,48.5,19
2-03-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,2,3,NA,46
2-03-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,2,3,46.666666666666664,37.5
2-03-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,2,3,44.5,NA
2-03-20,Leggett,Edgecombe,-77.5843,35.988278,2,3,24.5,32
2-03-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,2,3,46.5,NA
2-03-20,Millbrook School,Wake,-78.574167,35.856111,2,3,55.666666666666664,31.5
2-03-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,2,3,35,NA
2-03-20,West Johnston Co.,Johnston,-78.4622,35.59095,2,3,39.5,38
2-04-20,,Hyde,-76.2071654064174,35.4510904272765,2,4,13,NA
2-04-20,Bryson City,Swain,-83.442133,35.434767,2,4,45.5,NA
2-04-20,Castle Hayne,New Hanover,-77.838611,34.364167,2,4,12,NA
2-04-20,Clemmons Middle,Forsyth,-80.342,36.026,2,4,50,NA
2-04-20,Durham Armory,Durham,-78.904037,36.0329550008979,2,4,39.333333333333336,39
2-04-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,2,4,2,44
2-04-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,2,4,46.75,30
2-04-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,2,4,39.5,NA
2-04-20,Leggett,Edgecombe,-77.5843,35.988278,2,4,28,43
2-04-20,Linville Falls,Avery,-81.933072,35.972347,2,4,5,NA
2-04-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,2,4,41.5,NA
2-04-20,Millbrook School,Wake,-78.574167,35.856111,2,4,40.75,37
2-04-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,2,4,17,NA
2-04-20,West Johnston Co.,Johnston,-78.4622,35.59095,2,4,29,43
2-05-20,,Hyde,-76.2071654064174,35.4510904272765,2,5,50,NA
2-05-20,Bryson City,Swain,-83.442133,35.434767,2,5,40.5,NA
2-05-20,Castle Hayne,New Hanover,-77.838611,34.364167,2,5,26.5,NA
2-05-20,Clemmons Middle,Forsyth,-80.342,36.026,2,5,38,NA
2-05-20,Durham Armory,Durham,-78.904037,36.0329550008979,2,5,42,31
2-05-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,2,5,17,37
2-05-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,2,5,37.25,31.5
2-05-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,2,5,33.333333333333336,NA
2-05-20,Leggett,Edgecombe,-77.5843,35.988278,2,5,20,37
2-05-20,Linville Falls,Avery,-81.933072,35.972347,2,5,20,NA
2-05-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,2,5,34,NA
2-05-20,Millbrook School,Wake,-78.574167,35.856111,2,5,47,31.5
